category,word,description,aliases
ネットワーク,DNS,「google.com」のような名前をIPアドレスへ変えてくれる仕組み,Domain Name System|ドメインネームシステム
ネットワーク,OSI参照モデル,コンピュータ同士の通信を7つの役割に分けて考えるためのモデル,
ネットワーク,TCP,データを順番どおり・確実に相手へ届ける通信方式,
ネットワーク,UDP,速さを優先し、データが届いたかは確認しない通信方式,
ネットワーク,IPアドレス,ネットワーク上の機器を見つけるための住所,
ネットワーク,IPv4,現在広く使われている32ビットのIPアドレス,
ネットワーク,IPv6,IPv4のアドレス不足を解消するために作られた新しいIPアドレス,
ネットワーク,DHCP,ネットワークにつないだ機器へIPアドレスを自動で割り当てる仕組み,
ネットワーク,NAT,家庭や会社で使うIPアドレスをインターネット用のIPアドレスへ変換する仕組み,
ネットワーク,HTTP,Webページを見るときに使われる基本的な通信方式,
ネットワーク,HTTPS,HTTPの通信を暗号化して安全にした通信方式,
ネットワーク,FTP,ファイルを送ったり受け取ったりするときに使う通信方式,
ネットワーク,SMTP,メールを送信するときに使われる通信方式,
ネットワーク,POP3,メールを自分のパソコンへ受信する通信方式,
ネットワーク,IMAP,メールをサーバに残したまま閲覧・管理できる通信方式,
ネットワーク,URL,Webページの場所を表す住所,
ネットワーク,MACアドレス,ネットワーク機器に最初から付いている世界で重複しない番号,
ネットワーク,ルータ,異なるネットワーク同士をつないで通信を中継する機器,ルーター
ネットワーク,スイッチ,同じネットワーク内の機器同士を効率よくつなぐ機器,
ネットワーク,ハブ,受け取ったデータを接続されている全ての機器へ送る機器,
ネットワーク,サブネットマスク,IPアドレスのどこまでがネットワークでどこからが機器なのかを区切るための番号,
ネットワーク,デフォルトゲートウェイ,別のネットワークへ通信するとき最初にデータを渡す機器,デフォゲ
ネットワーク,ポート番号,どのアプリケーションへ通信するかを識別する番号,ポート
ネットワーク,LAN,家庭や学校・会社など限られた場所だけをつなぐネットワーク,
ネットワーク,WAN,離れた場所同士をつなぐ広い範囲のネットワーク,
ネットワーク,VPN,インターネットを利用して安全に社内ネットワークへ接続する仕組み,
ネットワーク,プロキシサーバ,利用者の代わりにインターネットへアクセスするサーバ,プロキシ
ネットワーク,ファイアウォール,許可した通信だけを通し、不正な通信を防ぐ仕組み,FW
ネットワーク,SSL/TLS,インターネット通信を暗号化して盗み見を防ぐ仕組み,SSL|TLS
ネットワーク,パケット,ネットワークでやり取りするために細かく分けられたデータ,
ネットワーク,ARP,IPアドレスからMACアドレスを調べる仕組み,
ネットワーク,ICMP,Pingなど通信相手との接続確認に使われる通信,
ネットワーク,無線LAN,ケーブルを使わず電波で通信するLAN,Wi-Fi|wifi
ネットワーク,SSID,無線LANを見分けるためのネットワーク名,
ネットワーク,アクセスポイント,無線LANへ接続するための機器,AP
ネットワーク,CDN,利用者に近いサーバからWebページを配信して表示を速くする仕組み,
ネットワーク,ブロードキャスト,同じネットワーク内の全ての機器へ一斉に送る通信,
ネットワーク,ユニキャスト,1台だけを相手に送る通信,
ネットワーク,マルチキャスト,特定のグループだけへ送る通信,
ネットワーク,Ping,通信相手へ届くかどうかを確認するためのコマンド,ping
ネットワーク,パリティビット,データ中の1の個数を偶数または奇数にそろえ、通信時の誤りを検出するための1ビット,